id,name,category,duration_hours,cost,open_start,open_end,lat,lon,popularity,tags,source,needs_review
rest_1392987-06-251,"1)  Ninniku Ramen Izakaya ,     2)   Ninniku",restaurant,1.5,11.995419928994904,11.0,22.0,37.785699,-122.432958,4.2,"food,restaurant",base_pois,False
muni_5829,100 O'Shaughnessy Blvd NE-MB/SB,transport,0.1,0.0,0.0,24.0,37.744481,-122.450678,3.5,"muni,transit,stop",base_pois,False
landmark_047,1015 Folsom,nightlife,3.1719227481921095,30.0,20.0,2.0,37.7749,-122.4094,4.461578723909495,"club,electronic,nightlife,dancing,venue",sf_landmarks_curated,False
biz_1270527-02-211,103 Horne Ave San Francisco,restaurant,1.3512229274612984,43.19259385559987,8.0,22.0,37.726596,-122.3656245,3.6787429258300306,"restaurant,food services,bayview hunters point",registered_businesses,False
park_156,10th Ave & Clement Mini Park,park,1.5,0.0,6.0,22.0,37.78184902,-122.46811226,4.0,"park,Mini Park",base_pois,False
muni_3232,10Th Ave&Pacheco St Sw-Fs/Ps,transport,0.2822433092282395,0.0,5.0,24.0,37.750699,-122.466547,3.4557466034808906,"transport,muni,transit",muni_stops,True
muni_3234,10Th Ave&Quintara St Nw-Ns/Ps,transport,0.3356223227639056,0.0,5.0,24.0,37.749164,-122.466432,3.5815747358578904,"transport,muni,transit",muni_stops,True
muni_4828,1100 Lake Merced Blvd Se-Ns/Sb,transport,0.2667545893532999,0.0,5.0,24.0,37.70913,-122.48498,3.6513813013060776,"transport,muni,transit",muni_stops,True
muni_6651,115 Telegraph Hill Blvd W-NS/AB,transport,0.1,0.0,0.0,24.0,37.801766,-122.405677,3.5,"muni,transit,stop",base_pois,False
muni_3245,11th St&Market St S-FS/BZ,transport,0.1,0.0,0.0,24.0,37.775368,-122.418575,3.5,"muni,transit,stop",base_pois,False
muni_3249,14th Ave&Taraval St NW-NS,transport,0.1,0.0,0.0,24.0,37.7434,-122.4703,3.5,"muni,transit,stop",base_pois,False
muni_3250,14th Ave&Taraval St SE-NS,transport,0.1,0.0,0.0,24.0,37.74317,-122.47017,3.5,"muni,transit,stop",base_pois,False
muni_3256,14th St&Castro St NW-FS/SB,transport,0.1,0.0,0.0,24.0,37.76738,-122.43584,3.5,"muni,transit,stop",base_pois,False
muni_3254,14th St&Church St NW-FS/BZ,transport,0.1,0.0,0.0,24.0,37.767768,-122.429088,3.5,"muni,transit,stop",base_pois,False
rest_0332885-03-001,15 Romolo,restaurant,1.5,10.900478607756417,11.0,22.0,37.798114233,-122.406320531,4.2,"food,restaurant",base_pois,False
biz_1242731-01-201,1501 Cortland St.,restaurant,1.9424042508085226,16.01372762811348,8.0,22.0,37.739745538,-122.409392107,4.221966909270182,"restaurant,food services,bernal heights",registered_businesses,False
muni_3266,15th Ave&Taraval St SE-NS/PS,transport,0.1,0.0,0.0,24.0,37.743124,-122.471297,3.5,"muni,transit,stop",base_pois,False
park_185,15th Avenue Steps,park,1.5,0.0,6.0,22.0,37.75956994,-122.47228105,4.0,"park,Mini Park",base_pois,False
muni_4795,1650 Geneva Ave N-FS/BZ,transport,0.1,0.0,0.0,24.0,37.71187,-122.42819,3.5,"muni,transit,stop",base_pois,False
muni_3188,1697 7th Ave SW-FS/SB,transport,0.1,0.0,0.0,24.0,37.756597,-122.463741,3.5,"muni,transit,stop",base_pois,False
muni_7231,16Th Ave & Lawton St. Sw-Fs/Sb,transport,0.3779969118928702,0.0,5.0,24.0,37.758023,-122.473791,3.0,"transport,muni,transit",muni_stops,True
muni_3279,16th Ave&Ortega St SE-NS/PS,transport,0.1,0.0,0.0,24.0,37.7524,-122.47309,3.5,"muni,transit,stop",base_pois,False
muni_7763,16th St& Missouri St SE-FS/BZ,transport,0.1,0.0,0.0,24.0,37.766384,-122.397023,3.5,"muni,transit,stop",base_pois,False
muni_7761,16Th St& Rhode Island St Sw-Ns/Si,transport,0.21065634213140572,0.0,5.0,24.0,37.765994,-122.402856,3.4330513565812044,"transport,muni,transit",muni_stops,True
muni_3282,16Th St&Bryant St Se-Fs/Bz,transport,0.17684146242163254,0.0,5.0,24.0,37.765595,-122.410408,3.748738899391666,"transport,muni,transit",muni_stops,True
muni_3283,16th St&Church St NE-NS/BZ,transport,0.1,0.0,0.0,24.0,37.764579,-122.428523,3.5,"muni,transit,stop",base_pois,False
muni_3285,16th St&Dolores St SE-FS/BZ,transport,0.1,0.0,0.0,24.0,37.764609,-122.426292,3.5,"muni,transit,stop",base_pois,False
muni_7289,16th St&Folsom St NW-FS/BZ,transport,0.1,0.0,0.0,24.0,37.7654,-122.415428,3.5,"muni,transit,stop",base_pois,False
muni_3291,16th St&Mission St NE-NS/BZ,transport,0.1,0.0,0.0,24.0,37.765152,-122.419611,3.5,"muni,transit,stop",base_pois,False
muni_3295,16th St&Potrero Ave NW-FS/BZ,transport,0.1,0.0,0.0,24.0,37.7658,-122.407624,3.5,"muni,transit,stop",base_pois,False
muni_3299,16th St&Shotwell St SE-FS/BZ,transport,0.1,0.0,0.0,24.0,37.765218,-122.416048,3.5,"muni,transit,stop",base_pois,False
muni_3799,175 Buckingham Way NW-FS/BZ,transport,0.1,0.0,0.0,24.0,37.725936,-122.478889,3.5,"muni,transit,stop",base_pois,False
muni_3306,17th Ave&Santiago St NW-NS,transport,0.1,0.0,0.0,24.0,37.74511,-122.47374,3.5,"muni,transit,stop",base_pois,False
muni_3309,17th St&Clayton St NE-NS/PS,transport,0.1,0.0,0.0,24.0,37.761854,-122.446702,3.5,"muni,transit,stop",base_pois,False
muni_3322,18th St&Church St NE-NS/BZ,transport,0.1,0.0,0.0,24.0,37.76137,-122.428195,3.5,"muni,transit,stop",base_pois,False
muni_3328,18th St&Danvers St SW-NS/BZ,transport,0.1,0.0,0.0,24.0,37.76024,-122.44349,3.5,"muni,transit,stop",base_pois,False
muni_3329,18th St&Diamond St SW-NS/BZ,transport,0.1,0.0,0.0,24.0,37.760702,-122.437294,3.5,"muni,transit,stop",base_pois,False
muni_3333,18th St&Guerrero St NW-FS/BZ,transport,0.1,0.0,0.0,24.0,37.761619,-122.423955,3.5,"muni,transit,stop",base_pois,False
muni_3344,18th St&Sanchez St NE-NS/BZ,transport,0.1,0.0,0.0,24.0,37.761228,-122.430464,3.5,"muni,transit,stop",base_pois,False
