user_id,pace,days,budget,hotel_lat,hotel_lon,interest_food,interest_museums,interest_outdoors,interest_parks,interest_shopping,interest_nightlife,interest_culture
0,slow,5,1171,37.76909121865977,-122.42465169807178,0.37,0.95,0.73,0.6,0.16,0.16,0.06
1,fast,3,986,37.760136703068454,-122.40453019041952,0.18,0.3,0.52,0.43,0.29,0.61,0.14
2,moderate,3,1076,37.78269192634515,-122.4304109775635,0.98,0.47,0.86,0.68,0.45,0.01,0.94
3,moderate,3,1071,37.777086383160544,-122.41058238961051,0.61,0.83,0.17,0.39,0.18,0.76,0.43
4,slow,5,516,37.778336182895686,-122.43703040155363,0.92,0.09,0.2,0.05,0.33,0.39,0.27
5,fast,4,892,37.784205844007715,-122.41262232590326,0.14,0.8,0.07,0.99,0.77,0.2,0.01
6,fast,4,873,37.78669716344701,-122.42838207939455,0.61,0.93,0.65,0.91,0.85,0.45,0.1
7,fast,3,1170,37.773394661417406,-122.42905557671895,0.64,0.89,0.47,0.12,0.71,0.76,0.56
8,fast,4,840,37.76681506397107,-122.42441757043584,0.2,0.9,0.48,0.56,0.7,0.14,0.6
9,fast,5,805,37.77162374816722,-122.42801598054248,0.93,0.81,0.63,0.87,0.8,0.19,0.89
10,fast,2,617,37.7709448354842,-122.4222913685647,0.91,0.27,0.65,0.0,0.35,0.3,0.16
11,moderate,4,685,37.76731672879482,-122.4148258435128,0.34,0.94,0.32,0.52,0.7,0.36,0.97
12,moderate,3,352,37.77829820964187,-122.41947380149944,1.0,0.27,0.98,0.41,0.03,0.35,0.63
13,moderate,3,810,37.764994636748696,-122.42506297729602,0.24,0.67,0.76,0.24,0.73,0.37,0.63
14,slow,2,939,37.7873894069914,-122.41874350841888,0.04,0.59,0.68,0.02,0.51,0.23,0.65
15,slow,5,871,37.775528245997336,-122.41438403634653,0.68,0.74,0.21,0.54,0.7,0.23,0.17
16,slow,5,927,37.77716288269499,-122.41092598567423,0.88,0.19,0.28,0.7,0.85,0.86,0.4
17,slow,2,460,37.77485143055349,-122.42323323306266,0.01,0.1,0.66,0.01,0.16,0.55,0.69
18,moderate,4,321,37.783686735481915,-122.42179594508194,0.18,0.37,0.74,0.72,0.31,0.54,0.51
19,fast,5,846,37.774784166802185,-122.41749401294885,0.63,0.79,0.5,0.58,0.49,0.2,0.72
20,slow,5,490,37.765404809548215,-122.42536897331563,0.28,0.88,0.75,0.95,0.33,0.55,0.57
21,moderate,5,1153,37.761843024459594,-122.42690761843068,0.27,0.49,0.37,0.39,0.84,0.93,0.07
22,moderate,4,1117,37.78005047686306,-122.38087268509345,0.3,0.32,0.85,0.14,0.71,0.55,0.3
23,moderate,5,1026,37.7628986826227,-122.40738619555782,0.8,0.65,0.7,0.8,0.89,0.34,0.38
24,fast,5,912,37.79050380141133,-122.41811448999928,0.16,0.98,0.84,0.86,0.25,0.04,0.3
25,slow,3,935,37.76182085700331,-122.43930599549577,0.22,0.62,0.09,0.05,0.53,0.54,0.64
26,moderate,2,1050,37.77807767032437,-122.43552227307174,0.74,0.25,0.18,0.08,0.43,0.69,0.06
27,fast,4,375,37.763064268320555,-122.41711029567769,0.71,0.66,0.28,0.95,0.74,0.55,0.61
28,moderate,3,731,37.76940747092636,-122.40843203745558,0.12,0.34,0.09,0.09,0.31,0.98,0.18
29,fast,3,907,37.77894975508771,-122.4103026182504,0.46,0.65,0.05,0.95,0.89,0.26,0.02
